Programming_and_Software_Development_off,Project_Management_off,Accounting_and_Finance_off,Marketing_and_Advertising_off,Sales_and_Customer_Service_off,Human_Resources_and_Leadership_off,Graphic_Design_and_Illustration_off,Photography_and_Photo_Editing_off,Music_instruments_Composition_and_Production_off,Writing_and_Editing_off,Arts_and_Crafts_and_DIY_Projects_off,Learning_Foreign_Languages_off,Written_and_Oral_Communication_in_Various_Languages_off,Interpretation_and_Translation_off,Computer_and_Software_Application_Operation_off,Network_Administration_and_IT_Support_off,Electronics_and_Robotics_off,Web_Design_and_Development_off,Data_Analysis_and_Visualization_off,Interpersonal_Communication_off,Conflict_Resolution_and_Mediation_off,Empathy_and_Emotional_Intelligence_off,Leadership_Skills_and_Teamwork_off,Networking_and_Relationship_Management_off,Cooking_and_Baking_off,Gardening_and_Farming_off,DIY_and_Repairs_off,Driving_and_Vehicle_Maintenance_off,First_Aid_and_Life_Saving_Techniques_off,Mathematics_and_Sciences_off,History_and_Social_Sciences_off,Literature_and_Philosophy_off,Research_Methods_and_Academic_Writing_off,Academic_Reading_and_Critique_off,Time_Management_and_Organization_off,Stress_Management_and_Mindfulness_off,Financial_Planning_and_Budgeting_off,Self_Defense_and_Personal_Safety_off,Healthcare_and_Nutrition_off,Programming_and_Software_Development_dem,Project_Management_dem,Accounting_and_Finance_dem,Marketing_and_Advertising_dem,Sales_and_Customer_Service_dem,Human_Resources_and_Leadership_dem,Graphic_Design_and_Illustration_dem,Photography_and_Photo_Editing_dem,Music_instruments_Composition_and_Production_dem,Writing_and_Editing_dem,Arts_and_Crafts_and_DIY_Projects_dem,Learning_Foreign_Languages_dem,Written_and_Oral_Communication_in_Various_Languages_dem,Interpretation_and_Translation_dem,Computer_and_Software_Application_Operation_dem,Network_Administration_and_IT_Support_dem,Electronics_and_Robotics_dem,Web_Design_and_Development_dem,Data_Analysis_and_Visualization_dem,Interpersonal_Communication_dem,Conflict_Resolution_and_Mediation_dem,Empathy_and_Emotional_Intelligence_dem,Leadership_Skills_and_Teamwork_dem,Networking_and_Relationship_Management_dem,Cooking_and_Baking_dem,Gardening_and_Farming_dem,DIY_and_Repairs_dem,Driving_and_Vehicle_Maintenance_dem,First_Aid_and_Life_Saving_Techniques_dem,Mathematics_and_Sciences_dem,History_and_Social_Sciences_dem,Literature_and_Philosophy_dem,Research_Methods_and_Academic_Writing_dem,Academic_Reading_and_Critique_dem,Time_Management_and_Organization_dem,Stress_Management_and_Mindfulness_dem,Financial_Planning_and_Budgeting_dem,Self_Defense_and_Personal_Safety_dem,Healthcare_and_Nutrition_dem
,,,,,,,,,,,,,,,,,,,Novice,Intermediate,Intermediate,Advanced,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Novice,Expert,Beginner,Intermediate,,,,,,,,,,
,,,,,,,,,,,Expert,Beginner,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Intermediate,Advanced,Expert,Intermediate,Expert,Expert,Expert,Advanced,Advanced,Expert,Beginner,Beginner,,,,,,,,,,,Expert,Expert,Expert,Advanced,Expert,,,,,
,,,,,,,,,,,,,,Beginner,Novice,Novice,Novice,Expert,,,,,,,,,,,Intermediate,Beginner,Advanced,Advanced,Advanced,,,,,,Expert,Expert,Expert,Advanced,Novice,Expert,Intermediate,Expert,Advanced,Expert,Expert,,,,Novice,Expert,Expert,Beginner,Advanced,,,,,,,,,,,Advanced,Intermediate,Novice,Expert,Expert,,,,,
Beginner,Novice,Beginner,Advanced,Expert,Expert,,,,,,,,,Beginner,Intermediate,Novice,Beginner,Beginner,,,,,,Intermediate,Intermediate,Intermediate,Novice,Novice,,,,,,,,,,,Expert,Expert,Intermediate,Advanced,Expert,Advanced,,,,,,,,,,,,,,Expert,Expert,Expert,Novice,Expert,,,,,,Expert,Expert,Expert,Intermediate,Intermediate,Intermediate,Expert,Novice,Advanced,Expert
,,,,,,,,,,,,,,,,,,,,,,,,Novice,Expert,Intermediate,Novice,Intermediate,,,,,,,,,,,,,,,,,Intermediate,Intermediate,Expert,Intermediate,Advanced,,,,Advanced,Advanced,Expert,Beginner,Expert,,,,,,,,,,,Intermediate,Intermediate,Expert,Expert,Expert,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Intermediate,Advanced,Expert,Beginner,,,,,,,,,,,,,,,Expert,Advanced,Advanced,Intermediate,Expert,,,,,,Intermediate,Expert,Advanced,Beginner,Advanced,,,,,,,,,,
,,,,,,Beginner,Beginner,Intermediate,Beginner,Expert,,,,,,,,,,,,,,,,,,,Expert,Novice,Expert,Novice,Beginner,,,,,,,,,,,,Expert,Advanced,Expert,Intermediate,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Expert,Novice,Beginner,Intermediate,Intermediate,Beginner,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Expert,Expert,Intermediate,Intermediate,Expert,,,,,,,,,Intermediate,Beginner,Advanced,Beginner,Expert,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Novice,Expert,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Advanced,Advanced,Advanced,Expert,Beginner,,,,,,,,,Expert,Expert,Advanced,Expert,Intermediate,Expert,Advanced,Expert,Expert,Advanced,,,,,,,,,,,Intermediate,Beginner,Intermediate,Beginner,Expert
Novice,Beginner,Novice,Intermediate,Novice,Novice,Expert,Advanced,Beginner,Beginner,Beginner,,,,,,,,,,,,,,,,,,,Intermediate,Beginner,Beginner,Novice,Expert,,,,,,Novice,Expert,Advanced,Expert,Beginner,Beginner,,,,,,Intermediate,Expert,Advanced,Beginner,Advanced,Expert,Novice,Advanced,,,,,,,,,,,Expert,Beginner,Expert,Expert,Novice,Expert,Intermediate,Beginner,Intermediate,Advanced
,,,,,,,,,,,,,,Novice,Beginner,Expert,Expert,Beginner,Beginner,Beginner,Novice,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Expert,Expert,Intermediate,Expert,,,,,,Advanced,Expert,Expert,Expert,Expert,,,,,,Advanced,Beginner,Advanced,Intermediate,Expert
,,,,,,Beginner,Advanced,Intermediate,Novice,Expert,Intermediate,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Intermediate,Expert,Advanced,Advanced,Intermediate,Intermediate,Beginner,Expert,Beginner,Expert,,,,Expert,Beginner,Intermediate,Expert,Beginner,,,,,,Expert,Expert,Expert,Expert,Beginner,Beginner,Advanced,Expert,Beginner,Novice,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Advanced,Advanced,Expert,Expert,Novice,Novice,Novice,Novice,Novice,,,,,,,,,,,,,,,,,,,,Expert,Novice,Advanced,Intermediate,Expert,,,,,,Expert,Expert,Intermediate,Expert,Advanced,,,,,,,,,,
Beginner,Expert,Expert,Intermediate,Beginner,Beginner,Advanced,Advanced,Expert,Beginner,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Novice,Intermediate,Beginner,Intermediate,,,,,,,,,,,,Beginner,Advanced,Beginner,Advanced,Novice,Intermediate,Advanced,Expert,Advanced,Expert,Advanced,Beginner,Expert,Beginner,Intermediate,Advanced,Expert,Beginner,,,,,,,,,,
Novice,Intermediate,Novice,Novice,Advanced,Novice,Novice,Intermediate,Intermediate,Expert,Intermediate,Intermediate,Expert,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Expert,Advanced,Beginner,Intermediate,Advanced,Advanced,Novice,Advanced,Expert,Novice,Advanced,Expert,Expert,Beginner,Expert,Advanced,Expert,,,,,,Expert,Expert,Expert,Advanced,Novice,,,,,
Intermediate,Beginner,Beginner,Novice,Expert,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Expert,Expert,Expert,Expert,Beginner,Beginner,Advanced,,,,,,,,,,,,,,,,Expert,Beginner,Intermediate,Intermediate,Expert
,,,,,,Novice,Advanced,Intermediate,Expert,Advanced,,,,,,,,,Beginner,Beginner,Expert,Intermediate,Novice,,,,,,,,,,,Advanced,Advanced,Beginner,Beginner,Novice,Novice,Intermediate,Advanced,Expert,Expert,Beginner,Advanced,Expert,Expert,Expert,Intermediate,,,,,,,,,Expert,Intermediate,Expert,Expert,Advanced,Expert,Intermediate,Novice,Expert,Advanced,Beginner,Intermediate,Expert,Expert,Intermediate,,,,,
,,,,,,Expert,Expert,Novice,Beginner,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Beginner,Expert,Expert,Intermediate,Expert,,,,,,Intermediate,Intermediate,Advanced,Expert,Intermediate,Novice,Advanced,Expert,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Novice,Beginner,Expert,,,,,,,,,,,,,,,,,,,,,Intermediate,Expert,Expert,Novice,Beginner,Intermediate,Advanced,Beginner,Intermediate,Intermediate,Advanced,Advanced,Novice,Expert,Advanced,Intermediate,,,,Beginner,Advanced,Intermediate,Expert,Intermediate,Advanced,Advanced,Expert,Advanced,Expert,Expert,Intermediate,Intermediate,Intermediate,Novice,,,,,,,,,,
Novice,Novice,Expert,Beginner,Novice,Beginner,,,,,,,,,,,,,,Expert,Beginner,Novice,Novice,Beginner,Intermediate,Advanced,Novice,Intermediate,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Advanced,Expert,Advanced,Expert,,,,,,,,,,,,,,,
,,,,,,,,,,,Novice,Novice,Beginner,,,,,,,,,,,,,,,,Intermediate,Beginner,Novice,Expert,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Advanced,Intermediate,Advanced,Intermediate,,,,,,,,,,
,,,,,,,,,,,Novice,Expert,Advanced,,,,,,Expert,Novice,Expert,Intermediate,Beginner,,,,,,,,,,,,,,,,Expert,Beginner,Advanced,Advanced,Novice,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Advanced,Novice,Advanced,Advanced
Expert,Novice,Advanced,Beginner,Beginner,Intermediate,,,,,,,,,Beginner,Advanced,Intermediate,Intermediate,Beginner,,,,,,,,,,,,,,,,Beginner,Novice,Novice,Novice,Novice,,,,,,,Expert,Advanced,Advanced,Intermediate,Beginner,Intermediate,Expert,Beginner,,,,,,,,,,,Intermediate,Intermediate,Advanced,Intermediate,Expert,,,,,,Advanced,Intermediate,Expert,Novice,Advanced
,,,,,,,,,,,,,,,,,,,,,,,,Novice,Expert,Novice,Advanced,Intermediate,,,,,,Advanced,Expert,Beginner,Novice,Advanced,Intermediate,Expert,Advanced,Advanced,Advanced,Beginner,Beginner,Novice,Beginner,Expert,Advanced,Expert,Intermediate,Expert,,,,,,,,,,,,,,,,Advanced,Novice,Expert,Expert,Beginner,,,,,
,,,,,,,,,,,Beginner,Expert,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Expert,Expert,Novice,Intermediate,Beginner,,,,,,,,,,,,,,Beginner,Expert,Beginner,Novice,Expert,,,,,,,,,,,,,,,
,,,,,,,,,,,Intermediate,Novice,Novice,Novice,Advanced,Advanced,Novice,Novice,,,,,,,,,,,,,,,,Expert,Intermediate,Beginner,Novice,Novice,,,,,,,,,,,,,,,,,,,,Advanced,Expert,Expert,Novice,Intermediate,,,,,,,,,,,,,,,
,,,,,,Beginner,Expert,Intermediate,Advanced,Novice,,,,Novice,Novice,Novice,Expert,Expert,,,,,,,,,,,,,,,,,,,,,Expert,Beginner,Beginner,Intermediate,Expert,Expert,Advanced,Expert,Beginner,Expert,Intermediate,,,,Expert,Expert,Expert,Expert,Expert,,,,,,,,,,,,,,,,Intermediate,Advanced,Beginner,Advanced,Intermediate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Novice,Intermediate,Novice,Expert,Intermediate,Beginner,Novice,Novice,Expert,Advanced,Expert,Intermediate,Beginner,Intermediate,Beginner,Advanced,Advanced,Expert,Beginner,Intermediate,,,,Expert,Expert,Expert,Beginner,Advanced,,,,,,Intermediate,Expert,Intermediate,Expert,Expert,Intermediate,Advanced,Advanced,Novice,Expert,,,,,
Expert,Novice,Novice,Expert,Novice,Novice,Expert,Novice,Intermediate,Novice,Beginner,,,,,,,,,,,,,,Advanced,Intermediate,Novice,Beginner,Intermediate,,,,,,,,,,,Advanced,Expert,Advanced,Intermediate,Advanced,Advanced,Expert,Intermediate,Advanced,Intermediate,Advanced,,,,Expert,Expert,Expert,Advanced,Advanced,,,,,,Advanced,Expert,Advanced,Expert,Intermediate,,,,,,Intermediate,Novice,Beginner,Advanced,Intermediate
,,,,,,,,,,,,,,Beginner,Beginner,Expert,Expert,Intermediate,Novice,Novice,Novice,Expert,Intermediate,Beginner,Beginner,Advanced,Novice,Intermediate,,,,,,,,,,,,,,,,,Advanced,Advanced,Advanced,Beginner,Intermediate,Advanced,Expert,Expert,,,,,,Advanced,Intermediate,Advanced,Beginner,Expert,,,,,,Expert,Intermediate,Beginner,Novice,Advanced,,,,,
Novice,Intermediate,Novice,Novice,Expert,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Advanced,Expert,Beginner,Advanced,,,,Beginner,Advanced,Advanced,Novice,Expert,Advanced,Advanced,Intermediate,Expert,Expert,,,,,,Expert,Advanced,Novice,Novice,Intermediate,Expert,Intermediate,Advanced,Expert,Intermediate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Expert,Intermediate,Beginner,Beginner,,,,,,,,,,,,,,,Intermediate,Intermediate,Intermediate,Expert,Beginner,Beginner,Advanced,Expert,Advanced,Beginner,,,,,,,,,,,,,,,
,,,,,,,,,,,Advanced,Intermediate,Novice,Beginner,Intermediate,Novice,Beginner,Novice,,,,,,Expert,Intermediate,Beginner,Intermediate,Intermediate,,,,,,,,,,,,,,,,,Expert,Advanced,Intermediate,Intermediate,Beginner,Expert,Advanced,Expert,,,,,,Expert,Advanced,Advanced,Beginner,Novice,,,,,,Expert,Intermediate,Expert,Beginner,Advanced,Advanced,Beginner,Expert,Expert,Novice
,,,,,,Expert,Intermediate,Expert,Expert,Intermediate,,,,,,,,,,,,,,Intermediate,Novice,Advanced,Novice,Beginner,Novice,Intermediate,Novice,Advanced,Intermediate,,,,,,Expert,Intermediate,Intermediate,Intermediate,Expert,Novice,,,,,,Expert,Advanced,Expert,Intermediate,Expert,Advanced,Expert,Advanced,,,,,,Advanced,Expert,Expert,Expert,Beginner,,,,,,Beginner,Expert,Beginner,Novice,Expert
Novice,Advanced,Intermediate,Novice,Novice,Beginner,,,,,,,,,Intermediate,Novice,Novice,Advanced,Expert,,,,,,,,,,,,,,,,,,,,,Expert,Intermediate,Novice,Expert,Beginner,Advanced,Expert,Advanced,Intermediate,Intermediate,Advanced,,,,,,,,,Intermediate,Expert,Novice,Advanced,Intermediate,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Expert,Expert,Beginner,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Advanced,Intermediate,Advanced,Intermediate,Advanced,Novice,Intermediate,Expert,Advanced,,,,,
Expert,Beginner,Beginner,Novice,Intermediate,Intermediate,,,,,,,,,Beginner,Novice,Advanced,Beginner,Intermediate,,,,,,Intermediate,Beginner,Advanced,Expert,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Expert,Intermediate,Advanced,Advanced,,,,,,,,,,,,,,,
,,,,,,,,,,,Beginner,Beginner,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Advanced,Expert,Beginner,Intermediate,Advanced,,,,,,Expert,Intermediate,Intermediate,Expert,Expert,Advanced,Advanced,Expert,Expert,Expert,Novice,Expert,Expert,Intermediate,Advanced,Expert,Advanced,Intermediate,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Novice,Intermediate,Advanced,Beginner,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Intermediate,Advanced,Intermediate,Intermediate
,,,,,,Beginner,Intermediate,Beginner,Novice,Beginner,,,,,,,,,Expert,Intermediate,Beginner,Novice,Intermediate,Beginner,Intermediate,Novice,Advanced,Advanced,,,,,,,,,,,,,,,,,,,,,,Advanced,Novice,Expert,,,,,,Beginner,Intermediate,Expert,Expert,Beginner,Intermediate,Novice,Advanced,Novice,Expert,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Intermediate,Novice,Expert,Advanced,,,,,,,,,,,,,,,,,,,,,,Expert,Expert,Advanced,,,,,,Intermediate,Expert,Advanced,Expert,Novice,Novice,Expert,Expert,Advanced,Beginner,,,,,,Beginner,Advanced,Beginner,Intermediate,Beginner
,,,,,,,,,,,Advanced,Advanced,Advanced,,,,,,,,,,,Expert,Novice,Intermediate,Novice,Beginner,Beginner,Novice,Novice,Expert,Novice,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Expert,Intermediate,Expert,Beginner,,,,,,Intermediate,Advanced,Advanced,Intermediate,Expert,Intermediate,Expert,Intermediate,Novice,Intermediate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Beginner,Novice,Novice,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Intermediate,Beginner,Advanced,Novice,,,,,,,,,,
Novice,Beginner,Expert,Expert,Beginner,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Expert,Intermediate,Advanced,Intermediate,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Novice,Beginner,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Novice,Expert,Intermediate,Intermediate,Intermediate,Intermediate,Novice,Beginner,Expert
Expert,Novice,Novice,Beginner,Advanced,Novice,Novice,Intermediate,Novice,Beginner,Advanced,,,,Beginner,Novice,Advanced,Novice,Novice,,,,,,,,,,,,,,,,,,,,,Beginner,Intermediate,Expert,Expert,Intermediate,Intermediate,Expert,Advanced,Expert,Expert,Novice,,,,,,,,,,,,,,Beginner,Advanced,Intermediate,Expert,Beginner,,,,,,,,,,
,,,,,,,,,,,,,,Intermediate,Expert,Expert,Intermediate,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Advanced,Expert,Beginner,Advanced,Intermediate,Advanced,Expert,Advanced,Expert,,,,,,,,,,
,,,,,,Expert,Beginner,Novice,Beginner,Beginner,,,,,,,,,Intermediate,Advanced,Beginner,Beginner,Novice,Intermediate,Beginner,Beginner,Expert,Advanced,,,,,,,,,,,Expert,Expert,Advanced,Beginner,Expert,Advanced,,,,,,,,,Advanced,Expert,Intermediate,Intermediate,Expert,,,,,,Advanced,Advanced,Expert,Advanced,Expert,Expert,Advanced,Advanced,Expert,Expert,Expert,Advanced,Intermediate,Advanced,Advanced
,,,,,,Novice,Expert,Expert,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Intermediate,Advanced,Novice,Beginner,Intermediate,Beginner,Expert,Expert,Advanced,Intermediate,Expert,Beginner,,,,,,,,,,,Intermediate,Advanced,Beginner,Expert,Beginner
Novice,Intermediate,Intermediate,Intermediate,Novice,Expert,Beginner,Novice,Beginner,Novice,Advanced,,,,,,,,,,,,,,Beginner,Beginner,Novice,Novice,Expert,,,,,,,,,,,,,,,,,Expert,Expert,Beginner,Novice,Expert,,,,,,,,,Expert,Beginner,Expert,Advanced,Expert,Expert,Advanced,Expert,Intermediate,Beginner,Novice,Expert,Advanced,Expert,Advanced,,,,,
,,,,,,Intermediate,Beginner,Expert,Intermediate,Novice,,,,,,,,,Beginner,Intermediate,Expert,Beginner,Advanced,Beginner,Intermediate,Intermediate,Beginner,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Expert,Expert,Intermediate,Expert
Novice,Beginner,Novice,Beginner,Novice,Intermediate,,,,,,,,,Novice,Beginner,Expert,Advanced,Beginner,,,,,,Beginner,Novice,Advanced,Novice,Intermediate,,,,,,,,,,,,,,,,,,,,,,Expert,Advanced,Expert,,,,,,Expert,Beginner,Expert,Expert,Expert,,,,,,,,,,,Advanced,Novice,Advanced,Novice,Novice
Expert,Novice,Novice,Novice,Beginner,Intermediate,,,,,,,,,Novice,Beginner,Intermediate,Beginner,Beginner,,,,,,,,,,,,,,,,,,,,,Advanced,Expert,Intermediate,Expert,Novice,Beginner,Expert,Expert,Expert,Intermediate,Expert,Expert,Novice,Expert,,,,,,,,,,,,,,,,Expert,Intermediate,Expert,Advanced,Expert,Expert,Expert,Expert,Novice,Expert
,,,,,,Beginner,Expert,Expert,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Expert,Intermediate,Expert,Expert,,,,,,Expert,Beginner,Beginner,Expert,Expert,Expert,Intermediate,Advanced,Beginner,Advanced,,,,,
Expert,Advanced,Intermediate,Intermediate,Expert,Beginner,,,,,,,,,,,,,,,,,,,,,,,,Novice,Novice,Novice,Novice,Beginner,Expert,Intermediate,Novice,Novice,Intermediate,,,,,,,Expert,Advanced,Expert,Advanced,Advanced,Intermediate,Intermediate,Advanced,Expert,Advanced,Beginner,Beginner,Intermediate,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Beginner,Advanced,Novice,,,,,,Novice,Expert,Novice,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,Expert,Intermediate,Expert,Expert,Expert,Expert,Advanced,Intermediate,Advanced,Intermediate,Advanced,Expert,Expert,,,,,,Intermediate,Novice,Intermediate,Beginner,Novice,Advanced,Expert,Expert,Advanced,Expert,,,,,
Novice,Expert,Novice,Beginner,Novice,Novice,,,,,,,,,,,,,,,,,,,Intermediate,Novice,Novice,Beginner,Beginner,,,,,,,,,,,,,,,,,,,,,,Intermediate,Beginner,Advanced,Advanced,Advanced,Intermediate,Advanced,Expert,,,,,,,,,,,Expert,Intermediate,Advanced,Advanced,Intermediate,,,,,
Novice,Novice,Novice,Novice,Intermediate,Intermediate,Beginner,Expert,Novice,Intermediate,Novice,,,,,,,,,,,,,,Novice,Expert,Novice,Beginner,Novice,,,,,,,,,,,,,,,,,Expert,Expert,Expert,Beginner,Expert,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Beginner,Advanced,Expert,Expert
Novice,Intermediate,Beginner,Novice,Advanced,Novice,,,,,,,,,,,,,,Beginner,Intermediate,Novice,Novice,Novice,Beginner,Novice,Novice,Beginner,Expert,,,,,,,,,,,Intermediate,Expert,Expert,Expert,Intermediate,Advanced,,,,,,Advanced,Beginner,Advanced,,,,,,Advanced,Beginner,Expert,Beginner,Intermediate,Beginner,Expert,Intermediate,Expert,Advanced,Expert,Expert,Expert,Beginner,Intermediate,,,,,
Intermediate,Intermediate,Novice,Beginner,Beginner,Expert,,,,,,,,,Novice,Intermediate,Beginner,Beginner,Novice,,,,,,,,,,,,,,,,,,,,,Expert,Expert,Advanced,Expert,Advanced,Expert,,,,,,,,,Novice,Beginner,Advanced,Advanced,Expert,Advanced,Intermediate,Novice,Intermediate,Expert,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Advanced,Advanced,Advanced,Expert,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Intermediate,Beginner,,,,,,,,,,,,,,,,,,,,,Expert,Expert,Expert,Novice,Intermediate
,,,,,,Expert,Intermediate,Beginner,Expert,Beginner,Intermediate,Novice,Novice,,,,,,,,,,,,,,,,Beginner,Novice,Intermediate,Novice,Novice,,,,,,,,,,,,,,,,,,,,Expert,Advanced,Expert,Intermediate,Intermediate,Expert,Expert,Expert,Expert,Advanced,,,,,,,,,,,Expert,Expert,Expert,Advanced,Expert
,,,,,,,,,,,Expert,Advanced,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Expert,Advanced,Novice,Expert,,,,,,,,,,
Intermediate,Novice,Novice,Expert,Expert,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Intermediate,Advanced,Expert,Expert,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Beginner,Beginner,Intermediate,Novice,,,,,,,,,,,,,,,,,,,,Expert,Beginner,Expert,Expert,Expert,Advanced,Beginner,Advanced,Intermediate,Advanced,,,,,,,,,,
,,,,,,Beginner,Expert,Novice,Expert,Novice,,,,Novice,Novice,Novice,Novice,Novice,,,,,,,,,,,,,,,,Intermediate,Advanced,Advanced,Beginner,Beginner,,,,,,,,,,,,Expert,Expert,Advanced,Advanced,Intermediate,Expert,Novice,Expert,Expert,Expert,Intermediate,Beginner,Expert,,,,,,Expert,Expert,Expert,Beginner,Expert,Intermediate,Expert,Intermediate,Advanced,Intermediate
Novice,Novice,Expert,Advanced,Novice,Novice,,,,,,,,,,,,,,Advanced,Novice,Intermediate,Beginner,Intermediate,Beginner,Novice,Intermediate,Novice,Beginner,,,,,,,,,,,Intermediate,Advanced,Intermediate,Advanced,Expert,Intermediate,,,,,,,,,Advanced,Advanced,Intermediate,Expert,Intermediate,Advanced,Expert,Expert,Advanced,Intermediate,,,,,,Intermediate,Expert,Expert,Expert,Intermediate,Intermediate,Expert,Intermediate,Expert,Expert
,,,,,,,,,,,,,,Expert,Novice,Beginner,Intermediate,Advanced,,,,,,Intermediate,Novice,Novice,Intermediate,Novice,,,,,,,,,,,Advanced,Expert,Advanced,Expert,Expert,Advanced,Expert,Expert,Expert,Intermediate,Expert,,,,,,,,,Expert,Intermediate,Expert,Advanced,Advanced,,,,,,,,,,,,,,,
,,,,,,Expert,Novice,Expert,Beginner,Advanced,,,,Advanced,Novice,Advanced,Novice,Intermediate,,,,,,Beginner,Intermediate,Beginner,Advanced,Advanced,,,,,,,,,,,,,,,,,Expert,Intermediate,Expert,Novice,Intermediate,Advanced,Beginner,Beginner,,,,,,Expert,Advanced,Novice,Intermediate,Expert,Novice,Intermediate,Expert,Intermediate,Expert,Expert,Expert,Intermediate,Advanced,Advanced,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Novice,Novice,Expert,Advanced,Expert,Advanced,Expert,Expert,Intermediate,Expert,Beginner,Expert,Advanced,Advanced,Expert,,,,Intermediate,Advanced,Expert,Expert,Expert,,,,,,Beginner,Advanced,Advanced,Expert,Advanced,Advanced,Advanced,Advanced,Expert,Expert,,,,,
,,,,,,,,,,,Advanced,Expert,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Intermediate,Beginner,Expert,Intermediate,Expert,Novice,Advanced,Advanced,Intermediate,Intermediate,,,,Intermediate,Intermediate,Expert,Expert,Expert,Expert,Advanced,Expert,Expert,Intermediate,Advanced,Intermediate,Advanced,Intermediate,Intermediate,,,,,,,,,,
Intermediate,Intermediate,Novice,Intermediate,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Advanced,Beginner,Expert,Novice
,,,,,,Advanced,Novice,Expert,Advanced,Novice,,,,,,,,,Beginner,Beginner,Novice,Novice,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Expert,Expert,,,,,,,,,,,,,,,,,,,,,,,,,
